Name,Nation,Rank,Rating,Type,Premium,RP,Price,Free,Surv.Mods,Armour.Hull.front,Armour.Hull.side,Armour.Hull.back,Armour.Turret.front,Armour.Turret.side,Armour.Turret.back,Crew,Visibility,Speed.Forward,Speed.Back,HP,HP/t,Weight,Eco.Repair,Eco.Reward.Lions,Eco.Reward.RP,Arma.Mods,Arma.Main.Caliber,Arma.Main.Ammo,Arma.Main.Rate,Arma.Main.Reload,Arma.Main.Mods,Arma.Main.Penetration,MG.1st.Caliber,MG.1st.Ammo,MG.1st.Rate,MG.1st.Reload,MG.2nd.Caliber,MG.2nd.Ammo,MG.2nd.Rate,MG.2nd.Reload,PROS_CONS.Pros,PROS_CONS.Cons,PROS_CONS.Ratio
A13 Mk I (3rd R.T.R.),Britain,I,"1,0",Light tank,•,0,250,,Smoke grenades,14,14,14,14,14,14,4,93,54,7,649,"47,0","13,8",350,"0,4","1,5",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,10,6,1.67
AB 43,Italy,II,"2,0",Light tank,,7900,10000,,,8,8,8,18,8,8,4,75,91,43,210,"26,9","7,8",350→481,"0,2","1,12",,"47,0",146,,"6,0",,67,"8,0",1992,600,"10,4",,,,,3,4,0.75
A13 Mk II 1939,Britain,I,"1,7",Light tank,•,0,0,Bundle or Gift,Smoke grenades,30,14,14,28,28,28,4,93,54,7,649,"44,8","14,5",710,"0,4","2,0",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,8,5,1.6
2S25,USSR,VII,"9,3",Light tank,,340000,930000,,Smoke grenades | ESS,40,20,20,43,20,20,3,101,78,78,973,"54,1","18,0",3000→5082,"1,3","2,32",Laser rangefinder | Night vision device,"125,0",40,,"7,1",Two-plane stabilizer | Autoloader,700,"7,62",2000,700,"8,0",,,,,5,3,1.67
AB 41,Italy,I,"1,0",Light tank,,2900,700,,,8,8,8,18,8,8,4,79,87,43,153,"20,7","7,4",140→181,"0,1","1,0",,"20,0",456,240,"7,8",,31,"8,0",1992,600,"10,4",,,,,5,9,0.56
2S25M,USSR,VII,"10,0",Light tank,,390000,1060000,,Smoke grenades | ESS,40,20,20,43,20,20,3,101,78,23,954,"53,0","18,0",3000→5082,"1,5","2,38",Laser rangefinder | Night vision device | Thermal imager,"125,0",40,,"7,1",Two-plane stabilizer | Autoloader,700,"7,62",2000,700,"8,0","7,62",2000,700,"8,0",1,1,1.0
A13 Mk II,Britain,I,"1,3",Light tank,,2900,700,,Smoke grenades,30,14,14,28,28,28,4,93,54,7,649,"44,8","14,5",110→148,"0,1","1,0",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,8,5,1.6
A13 Mk I,Britain,I,"1,0",Light tank,,0,0,Free,Smoke grenades,14,14,14,14,14,14,4,93,54,7,649,"47,0","13,8",free,"0,1","1,0",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,10,5,2.0
AMD.35,France,I,"1,0",Light tank,,0,0,Free,,20,15,15,26,15,15,4,77,80,47,200,"23,5","8,5",free,"0,1","1,0",,"25,0",48,,"3,9",,68,"7,5",800,551,"6,5",,,,,5,5,1.0
AGS,USA,VI,"9,7",Light tank,,0,0,Bundle or Gift,Smoke grenades,38,25,25,25,25,25,3,90,81,17,967,"43,6","22,2",4190→6674,"1,4","2,2",Laser rangefinder | Night vision device | Thermal imager,"105,0",30,,"5,0",Two-plane stabilizer | Autoloader,400,"7,62",1000,651,"8,0","7,62",3000,941,"8,0",6,7,0.86
