Name,Nation,Rank,Rating,Type,Premium,RP,Price,Free,Surv.Mods,Armour.Hull.front,Armour.Hull.side,Armour.Hull.back,Armour.Turret.front,Armour.Turret.side,Armour.Turret.back,Crew,Visibility,Speed.Forward,Speed.Back,HP,HP/t,Weight,Eco.Repair,Eco.Reward.Lions,Eco.Reward.RP,Arma.Mods,Arma.Main.Caliber,Arma.Main.Ammo,Arma.Main.Rate,Arma.Main.Reload,Arma.Main.Mods,Arma.Main.Penetration,MG.1st.Caliber,MG.1st.Ammo,MG.1st.Rate,MG.1st.Reload,MG.2nd.Caliber,MG.2nd.Ammo,MG.2nd.Rate,MG.2nd.Reload,PROS_CONS.Pros,PROS_CONS.Cons,PROS_CONS.Ratio
A13 Mk I,Britain,I,"1,0",Light tank,,0,0,Free,Smoke grenades,14,14,14,14,14,14,4,93,54,7,649,"47,0","13,8",free,"0,1","1,0",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,10,5,2.0
A13 Mk II,Britain,I,"1,3",Light tank,,2900,700,,Smoke grenades,30,14,14,28,28,28,4,93,54,7,649,"44,8","14,5",120→162,"0,1","1,0",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,8,5,1.6
2S25M,USSR,VII,"10,0",Light tank,,390000,1060000,,Smoke grenades | ESS,40,20,20,43,20,20,3,101,78,23,954,"53,0","18,0",3280→5556,"1,5","2,38",Laser rangefinder | Night vision device | Thermal imager,"125,0",40,,"7,1",Two-plane stabilizer | Autoloader,700,"7,62",2000,700,"8,0","7,62",2000,700,"8,0",1,1,1.0
A13 Mk I (3rd R.T.R.),Britain,I,"1,0",Light tank,•,0,250,,Smoke grenades,14,14,14,14,14,14,4,93,54,7,649,"47,0","13,8",320,"0,4","1,5",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,10,6,1.67
AB 43,Italy,II,"2,3",Light tank,,7900,10000,,,8,8,8,18,8,8,4,75,91,43,210,"26,9","7,8",290→399,"0,2","1,12",,"47,0",146,,"6,0",,67,"8,0",1992,600,"10,4",,,,,3,4,0.75
AB 41,Italy,I,"1,0",Light tank,,2900,700,,,8,8,8,18,8,8,4,79,87,43,153,"20,7","7,4",140→181,"0,1","1,0",,"20,0",456,240,"7,8",,31,"8,0",1992,600,"10,4",,,,,5,9,0.56
A13 Mk II 1939,Britain,I,"1,3",Light tank,•,0,0,Bundle or Gift,Smoke grenades,30,14,14,28,28,28,4,93,54,7,649,"44,8","14,5",710,"0,4","2,0",,"40,0",87,,"3,6",Shoulder stabilizer,86,"7,7",3500,390,"10,4",,,,,8,5,1.6
2S25,USSR,VII,"9,3",Light tank,,340000,930000,,Smoke grenades | ESS,40,20,20,43,20,20,3,101,78,78,973,"54,1","18,0",3180→5386,"1,3","2,32",Laser rangefinder | Night vision device,"125,0",40,,"7,1",Two-plane stabilizer | Autoloader,700,"7,62",2000,700,"8,0",,,,,5,3,1.67
AEC Mk II,Britain,II,"3,0",Light tank,•,0,0,Bundle or Gift,Smoke grenades,17,25,14,31,25,20,4,90,76,10,315,"24,6","12,8",2000,"1,0","2,48",,"57,0",60,,"5,2",Shoulder stabilizer,127,"7,92",3375,600,"10,4",,,,,5,4,1.25
AMC.34 YR,France,I,"1,0",Light tank,,2900,700,,,20,18,10,35,35,35,2,88,45,7,229,"23,6","9,7",80→102,"0,1","1,0",,"47,0",76,,"7,8",Shoulder stabilizer,26,"7,5",1800,551,"6,5",,,,,3,6,0.5
